action_type,user_role,data_sensitivity,task_alignment,request_frequency,time_of_day,is_anomalous,privilege_level,risk_score,decision
api_call,user,1,0.849,52,11,1,1,0.4569,escalate
email_send,user,0,0.783,25,19,0,1,0.1867,allow
db_write,admin,0,0.564,49,21,1,3,0.4789,escalate
db_read,user,1,0.682,36,8,0,1,0.2786,allow
file_read,admin,1,0.847,47,19,1,3,0.3523,escalate
file_read,guest,3,0.859,43,14,0,0,0.4099,escalate
file_read,developer,0,0.938,14,6,0,2,0.0291,allow
web_search,developer,1,0.755,17,13,0,2,0.139,allow
db_read,user,2,0.774,28,16,0,1,0.3302,allow
db_read,user,2,0.553,45,1,0,1,0.4027,escalate
file_read,user,3,0.894,41,8,0,1,0.3659,escalate
email_send,developer,2,0.879,56,12,1,2,0.5525,escalate
web_search,user,3,0.701,48,4,1,1,0.6015,escalate
file_write,developer,0,0.867,8,3,0,2,0.0933,allow
file_write,user,1,0.914,14,22,0,1,0.2105,allow
file_write,user,0,0.766,15,20,0,1,0.1585,allow
api_call,guest,0,0.792,39,0,0,0,0.1966,allow
code_exec,user,0,0.692,25,8,0,1,0.2649,allow
api_call,developer,0,0.779,59,23,1,2,0.3659,escalate
api_call,admin,0,0.4,11,15,0,3,0.1283,allow
db_read,developer,0,0.739,29,18,0,2,0.1389,allow
file_read,user,0,0.354,3,2,0,1,0.1401,allow
api_call,admin,3,0.648,39,2,0,3,0.3326,allow
api_call,developer,0,0.959,22,6,0,2,0.0682,allow
api_call,admin,2,0.676,37,17,0,3,0.2831,allow
db_write,user,0,0.829,41,19,0,1,0.2792,allow
file_write,user,3,0.685,20,6,0,1,0.433,escalate
code_exec,guest,3,0.845,19,23,0,0,0.5077,escalate
db_read,developer,2,0.833,13,15,0,2,0.2601,allow
file_read,guest,2,0.854,27,20,0,0,0.3009,allow
db_read,user,0,0.367,19,23,0,1,0.2299,allow
file_read,user,3,0.658,16,3,0,1,0.3717,escalate
file_read,developer,3,0.865,2,12,0,2,0.1884,allow
web_search,developer,3,0.509,1,9,0,2,0.3282,allow
email_send,user,2,0.694,3,1,0,1,0.3345,allow
db_write,user,0,0.494,24,18,0,1,0.3179,allow
api_call,developer,3,0.854,44,13,0,2,0.3759,escalate
file_read,admin,0,0.678,38,5,0,3,0.0877,allow
db_read,developer,1,0.148,2,12,0,2,0.2954,allow
api_call,admin,0,0.874,56,21,1,3,0.3085,allow
file_read,developer,3,0.931,16,11,0,2,0.2838,allow
code_exec,developer,0,0.616,29,11,0,2,0.2535,allow
file_read,user,0,0.8,37,22,0,1,0.1283,allow
web_search,developer,1,0.566,44,11,0,2,0.2218,allow
file_write,developer,2,0.616,4,10,0,2,0.3035,allow
db_read,developer,1,0.826,14,13,0,2,0.1798,allow
api_call,user,0,0.607,17,3,0,1,0.1636,allow
code_exec,user,0,0.784,44,12,0,1,0.2782,allow
code_exec,user,2,0.579,45,7,0,1,0.4875,escalate
file_write,user,3,0.899,17,23,0,1,0.3852,escalate
email_send,user,2,0.842,20,22,0,1,0.3333,allow
db_write,developer,1,0.911,47,2,1,2,0.5228,escalate
web_search,user,3,0.861,29,13,0,1,0.3378,allow
web_search,guest,1,0.712,41,18,0,0,0.2543,allow
db_read,user,1,0.79,26,17,0,1,0.2403,allow
web_search,developer,1,0.544,42,10,0,2,0.2229,allow
file_read,user,1,0.813,38,12,0,1,0.2107,allow
file_write,user,2,0.76,17,22,0,1,0.3297,allow
file_read,developer,1,0.62,12,5,0,2,0.1202,allow
api_call,user,0,0.266,56,22,1,1,0.4968,escalate
api_call,admin,0,0.909,28,17,0,3,0.0549,allow
file_write,admin,0,0.899,9,19,0,3,0.0552,allow
web_search,user,1,0.938,32,0,0,1,0.1607,allow
api_call,user,0,0.602,34,1,0,1,0.1929,allow
api_call,developer,0,0.745,16,6,0,2,0.101,allow
code_exec,guest,2,0.864,48,4,1,0,0.6689,deny
file_read,user,2,0.886,54,18,1,1,0.5061,escalate
db_write,user,2,0.328,31,1,0,1,0.5294,escalate
file_read,admin,1,0.882,55,2,1,3,0.3586,escalate
email_send,guest,3,0.769,27,19,0,0,0.4762,escalate
db_write,developer,3,0.811,29,9,0,2,0.4795,escalate
file_write,developer,2,0.569,1,9,0,2,0.3079,allow
file_read,user,1,0.933,27,20,0,1,0.1684,allow
web_search,guest,0,0.669,53,7,1,0,0.3995,escalate
db_read,admin,3,0.769,32,8,0,3,0.3545,escalate
db_read,user,0,0.663,59,1,1,1,0.4374,escalate
db_write,developer,0,0.73,11,2,0,2,0.2157,allow
file_read,user,1,0.926,53,15,1,1,0.4131,escalate
api_call,user,0,0.759,35,3,0,1,0.2568,allow
file_read,user,3,0.772,2,22,0,1,0.3256,allow
web_search,guest,1,0.55,46,5,1,0,0.495,escalate
db_read,guest,1,0.91,1,12,0,0,0.208,allow
api_call,developer,2,0.793,6,5,0,2,0.2414,allow
file_read,user,1,0.609,7,9,0,1,0.1999,allow
api_call,user,0,0.68,2,22,0,1,0.1542,allow
api_call,user,1,0.818,2,16,0,1,0.1797,allow
db_read,developer,2,0.873,47,7,1,2,0.5087,escalate
db_read,guest,1,0.877,53,8,1,0,0.5013,escalate
web_search,developer,2,0.557,5,1,0,2,0.2419,allow
api_call,guest,0,0.722,13,16,0,0,0.1673,allow
file_read,guest,0,0.81,19,19,0,0,0.1297,allow
db_read,guest,0,0.59,19,10,0,0,0.2187,allow
db_write,developer,1,0.867,47,17,1,2,0.5255,escalate
code_exec,guest,2,0.928,1,21,0,0,0.3777,escalate
db_write,guest,2,0.64,35,2,0,0,0.507,escalate
code_exec,user,1,0.582,57,8,1,1,0.6236,escalate
code_exec,developer,1,0.769,18,7,0,2,0.2879,allow
api_call,user,2,0.718,49,6,1,1,0.5614,escalate
file_read,user,0,0.587,57,6,1,1,0.4043,escalate
file_read,guest,0,0.667,32,22,0,0,0.1799,allow
file_read,user,3,0.691,32,20,0,1,0.3918,escalate
db_read,developer,1,0.512,53,7,1,2,0.5076,escalate
api_call,developer,3,0.747,8,19,0,2,0.3373,allow
code_exec,user,0,0.642,11,4,0,1,0.2516,allow
web_search,user,2,0.64,20,2,0,1,0.2837,allow
file_write,guest,0,0.525,8,18,0,0,0.2283,allow
api_call,user,0,0.5,28,1,0,1,0.2033,allow
db_write,guest,1,0.725,21,13,0,0,0.3833,escalate
file_write,developer,0,0.929,38,20,0,2,0.1309,allow
file_read,admin,0,0.266,38,1,0,3,0.1701,allow
api_call,admin,0,0.713,6,9,0,3,0.0574,allow
file_read,admin,0,0.722,2,19,0,3,0.0,allow
web_search,developer,2,0.752,10,9,0,2,0.2113,allow
db_write,developer,1,0.598,42,16,0,2,0.4639,escalate
db_read,user,0,0.685,9,1,0,1,0.1497,allow
web_search,developer,0,0.805,55,0,1,2,0.309,allow
db_write,user,0,0.856,3,17,0,1,0.2105,allow
file_write,user,1,0.663,2,3,0,1,0.2407,allow
web_search,developer,0,0.846,36,0,0,2,0.0691,allow
code_exec,user,2,0.809,8,21,0,1,0.3799,escalate
db_write,user,0,0.797,9,16,0,1,0.2323,allow
web_search,admin,0,0.643,26,2,0,3,0.0597,allow
api_call,guest,3,0.507,34,1,0,0,0.4953,escalate
file_read,user,2,0.877,48,17,1,1,0.4979,escalate
file_write,admin,0,0.531,30,3,0,3,0.1638,allow
api_call,developer,2,0.778,38,2,0,2,0.2977,allow
web_search,user,1,0.886,8,11,0,1,0.1311,allow
web_search,user,2,0.674,3,21,0,1,0.2485,allow
file_read,user,1,0.904,11,15,0,1,0.1475,allow
code_exec,admin,2,0.629,25,10,0,3,0.3775,escalate
api_call,developer,3,0.8,52,9,1,2,0.6,escalate
file_write,user,0,0.616,5,18,0,1,0.1718,allow
file_read,guest,1,0.803,12,9,0,0,0.2027,allow
api_call,guest,1,0.546,55,20,1,0,0.5558,escalate
web_search,admin,0,0.782,30,2,0,3,0.0386,allow
api_call,user,0,0.649,27,23,0,1,0.1719,allow
code_exec,developer,0,0.799,43,5,0,2,0.2402,allow
db_read,guest,1,0.577,5,13,0,0,0.2813,allow
api_call,developer,1,0.849,20,11,0,2,0.1702,allow
